COMPANY,FROM YEAR,YEAR,ATTACHMENT,XBRL,ORIGINAL SUBMISSION DATE,Company ID
International Gemmological Institute (India) Limited,2024,2024,https://nsearchives.nseindia.com/corporate/IGIINDIA_17062025191638_SE_BRSR_Disclosure.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467735_17062025071711_WEB.xml,17-Jun-25,BRSR_1467735_17062025071711
Sanghi Industries Limited,2024,2025,https://nsearchives.nseindia.com/corporate/SANGHIIND_17062025172553_SILBRSR31032025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467642_17062025052610_WEB.xml,17-Jun-25,BRSR_1467642_17062025052610
Network18 Media & Investments Limited,2024,2025,https://nsearchives.nseindia.com/corporate/Shambhu_17062025155932_NW18_BRSR_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467575_17062025040020_WEB.xml,17-Jun-25,BRSR_1467575_17062025040020
Jupiter Life Line Hospitals Limited,2024,2025,https://nsearchives.nseindia.com/corporate/JUPITER2023_17062025153916_JLHL_BRSR_Report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467550_17062025033934_WEB.xml,17-Jun-25,BRSR_1467550_17062025033934
Dalmia Bharat Sugar and Industries Limited,2024,2025,https://nsearchives.nseindia.com/corporate/DALMIACEM_17062025133918_Dalmia_Sugar_Annual_Report_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467479_17062025013935_WEB.xml,17-Jun-25,BRSR_1467479_17062025013935
TATA COMMUNICATIONS LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/TATACOMM_16062025223319_18197B.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467345_16062025103334_WEB.xml,16-Jun-25,BRSR_1467345_16062025103334
ALEMBIC PHARMACEUTICALS LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/APLLTD_16062025213332_BRSR_Signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467340_16062025093416_WEB.xml,16-Jun-25,BRSR_1467340_16062025093416
ADANI POWER LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/ADANIPOWER_16062025165723_APLBRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467091_16062025045831_WEB.xml,16-Jun-25,BRSR_1467091_16062025045831
Kalpataru Projects International Limited,2024,2025,https://nsearchives.nseindia.com/corporate/KALPATPOWR_16062025153918_SEIntimation16062025BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467004_16062025034025_WEB.xml,16-Jun-25,BRSR_1467004_16062025034025
Epigral LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/MFL_16062025121036_BRSR16062025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466874_16062025121401_WEB.xml,16-Jun-25,BRSR_1466874_16062025121401
Computer Age Management Services Limited,2024,2025,https://nsearchives.nseindia.com/corporate/Jaiganesh_13062025213908_CAMS_BRSR_2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466637_13062025093918_WEB.xml,13-Jun-25,BRSR_1466637_13062025093918
Meghmani Organics Limited,2024,2025,https://nsearchives.nseindia.com/corporate/MOL_13062025190644_BRSR2025MOL.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466573_13062025070701_WEB.xml,13-Jun-25,BRSR_1466573_13062025070701
JAIPRAKASH POWER VENTURES LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/JPPOWER_13062025181446_JPVL_BRSR_2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466516_13062025061506_WEB.xml,13-Jun-25,BRSR_1466516_13062025061506
ACC Limited,2024,2025,https://nsearchives.nseindia.com/corporate/ACC_1_13062025170440_ACC_BRSR_2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466451_13062025050528_WEB.xml,13-Jun-25,BRSR_1466451_13062025050528
Ambuja Cements Limited,2024,2025,https://nsearchives.nseindia.com/corporate/AMBUJACEM_13062025164719_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466435_13062025044732_WEB.xml,13-Jun-25,BRSR_1466435_13062025044732
Rainbow Childrens Medicare Limited,2024,2025,https://nsearchives.nseindia.com/corporate/RAINBOWUSER_13062025163551_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466425_13062025043616_WEB.xml,13-Jun-25,BRSR_1466425_13062025043616
Nelco Limited,2024,2025,https://nsearchives.nseindia.com/corporate/NELCO_13062025144853_BRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466328_13062025024925_WEB.xml,13-Jun-25,BRSR_1466328_13062025024925
The Indian Hotels Company Limited,2024,2025,https://nsearchives.nseindia.com/corporate/rashna_master_tajhotels_com_13062025124150_BRSR202425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466242_13062025124213_WEB.xml,13-Jun-25,BRSR_1466242_13062025124213
Supreme Industries Limited,2024,2025,https://nsearchives.nseindia.com/corporate/SUPREMEIND_13062025115535_BRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466217_13062025115844_WEB.xml,13-Jun-25,BRSR_1466217_13062025115844
SIS Limited,2024,2025,https://nsearchives.nseindia.com/corporate/SIS_13062025002258_Intimation.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466164_13062025123158_WEB.xml,13-Jun-25,BRSR_1466164_13062025123158
HONEYWELL AUTOMATION INDIA LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/HONAUT_12062025180132_SEBRSR2425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466038_12062025060229_WEB.xml,12-Jun-25,BRSR_1466038_12062025060229
Home First Finance Company India Limited,2024,2025,https://nsearchives.nseindia.com/corporate/HOMEFIRST_12062025165114_BRSRStockExchangeUploading.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1465972_12062025045141_WEB.xml,12-Jun-25,BRSR_1465972_12062025045141
PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/PILANIINVS_12062025154237_Pilani_BRSR_06062025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1465906_12062025034312_WEB.xml,12-Jun-25,BRSR_1465906_12062025034312
Trent Limited,2024,2025,https://nsearchives.nseindia.com/corporate/TRENT_11062025215346_BRSR_FY_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1465717_11062025095524_WEB.xml,11-Jun-25,BRSR_1465717_11062025095524
TATA POWER COMPANY LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/VPTPCL_11062025203843_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1465709_11062025091157_WEB.xml,11-Jun-25,BRSR_1465709_11062025091157
BANK OF INDIA,2024,2025,https://nsearchives.nseindia.com/corporate/BANKINDIA2_11062025175035_BRSR24-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1465596_11062025055141_WEB.xml,11-Jun-25,BRSR_1465596_11062025055141
BANK OF MAHARASHTRA,2024,2025,https://nsearchives.nseindia.com/corporate/MAHABANK_08062025202100_LettertoSE_BRSR_202425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1464397_08062025082113_WEB.xml,8-Jun-25,BRSR_1464397_08062025082113
Rossari Biotech Limited,2024,2025,https://nsearchives.nseindia.com/corporate/ROSSARI_06062025235548_20250606_Intimation_of_BRSR_Report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1463987_06062025115654_WEB.xml,6-Jun-25,BRSR_1463987_06062025115654
FOSECO INDIA LIMITED,2024,2024,https://nsearchives.nseindia.com/corporate/FOSECOIND_06062025201056_Foseco_BRSR_Report_2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1463913_06062025081136_WEB.xml,6-Jun-25,BRSR_1463913_06062025081136
Sagar Cements Limited,2024,2025,https://nsearchives.nseindia.com/corporate/SAGCEM_06062025171703_SclNsEBsESubmissionofBRSR_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1463772_06062025051711_WEB.xml,6-Jun-25,BRSR_1463772_06062025051711
Sula Vineyards Limited,2024,2025,https://nsearchives.nseindia.com/corporate/SULA_16062025170818_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467114_16062025050842_WEB.xml,2-Jun-25,BRSR_1467114_16062025050842
AVANTEL LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/AVANTEL_01062025143312_BRSRReport202425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1461944_01062025023406_WEB.xml,1-Jun-25,BRSR_1461944_01062025023406
Indegene Limited,2024,2025,https://nsearchives.nseindia.com/corporate/INDEGENE_30052025122033_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1458732_30052025122234_WEB.xml,########,BRSR_1458732_30052025122234
Bank of Baroda,2024,2025,https://nsearchives.nseindia.com/corporate/BANKBARODA_29052025215012_SEBRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1458171_29052025095025_WEB.xml,########,BRSR_1458171_29052025095025
EMUDHRA LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/EMUDHRA2008_28052025175521_filed_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1454902_28052025055531_WEB.xml,########,BRSR_1454902_28052025055531
INOX India Limited,2024,2025,https://nsearchives.nseindia.com/corporate/KAMLESHS_27052025175943_Reg34BRSRsigned.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1453047_27052025060029_WEB.xml,########,BRSR_1453047_27052025060029
UCO BANK,2024,2025,https://nsearchives.nseindia.com/corporate/UCOBANK_27052025143212_BRSR202425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1452513_27052025023234_WEB.xml,########,BRSR_1452513_27052025023234
Larsen & Toubro Limited,2024,2025,https://nsearchives.nseindia.com/corporate/PAM_26052025132508_BRSRFinal.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1450809_26052025013610_WEB.xml,########,BRSR_1450809_26052025013610
Indian Bank,2024,2025,https://nsearchives.nseindia.com/corporate/INDIANB_25052025154810_SE_BRSR_FY2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1450585_25052025034839_WEB.xml,########,BRSR_1450585_25052025034839
Nureca Limited,2024,2025,https://nsearchives.nseindia.com/corporate/NURECA_24052025173151_StockExchangeIntimationBRSRSigned.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1450148_24052025053211_WEB.xml,########,BRSR_1450148_24052025053211
L&T Technology Services Limited,2024,2025,https://nsearchives.nseindia.com/corporate/LTTS_23052025220125_BRSR_Extract.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1449613_23052025100148_WEB.xml,########,BRSR_1449613_23052025100148
STATE BANK OF INDIA,2024,2025,https://nsearchives.nseindia.com/corporate/SBIN_22052025211318_SR_2024_25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1447932_22052025091653_WEB.xml,########,BRSR_1447932_22052025091653
SESHASAYEE PAPER AND BOARDS LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/SESHAPAPER_22052025190643_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1447566_22052025070656_WEB.xml,########,BRSR_1447566_22052025070656
INDIAMART INTERMESH LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/INDIAMART_22052025135734_IndiaMART_BRSR_20052025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1446728_22052025015818_WEB.xml,########,BRSR_1446728_22052025015818
R Systems International Limited,2024,2024,https://nsearchives.nseindia.com/corporate/RSYSTEMS_20052025232933_RSYSTEMS.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1445139_20052025112946_WEB.xml,########,BRSR_1445139_20052025112946
Himadri Speciality Chemical Limited,2024,2025,https://nsearchives.nseindia.com/corporate/HSCL_20052025173733_BRSRFY202425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1444402_20052025053743_WEB.xml,########,BRSR_1444402_20052025053743
Schaeffler India Limited,2024,2024,https://nsearchives.nseindia.com/corporate/SCHAEFFLERUSER1_20052025154927_SchaefflerIndia_BRSRReport.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1444134_20052025034939_WEB.xml,########,BRSR_1444134_20052025034939
Jindal Saw Limited,2024,2025,https://nsearchives.nseindia.com/corporate/JINDALSAW_20052025142417_CoveringJSAWBRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1444020_20052025022449_WEB.xml,########,BRSR_1444020_20052025022449
Angel One Limited,2024,2025,https://nsearchives.nseindia.com/corporate/ANGEL8896_16052025212623_IntimationforfilingofBRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1441759_16052025092640_WEB.xml,########,BRSR_1441759_16052025092640
Havells India Limited,2024,2025,https://nsearchives.nseindia.com/corporate/HAVELLS1_16052025200031_CoverLetter_Notice_IntegratedAR_BRSR_Core_16052025_FullVersion.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1441641_16052025080044_WEB.xml,########,BRSR_1441641_16052025080044
Archean Chemical Industries Limited,2024,2025,https://nsearchives.nseindia.com/corporate/ARCHEAN_12052025001948_BRSRIntimation.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1435946_12052025122005_WEB.xml,########,BRSR_1435946_12052025122005
Lloyds Metals and Energy Limited,2024,2025,https://nsearchives.nseindia.com/corporate/LLOYDSME_17062025145727_20250509_Intimation_of_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467506_17062025025923_WEB.xml,9-May-25,BRSR_1467506_17062025025923
L&T Finance Limited,2024,2025,https://nsearchives.nseindia.com/corporate/naguiyer_09052025204807_NSEBSEINTIMATION.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1435388_09052025085041_WEB.xml,9-May-25,BRSR_1435388_09052025085041
LTIMindtree Limited,2024,2025,https://nsearchives.nseindia.com/corporate/LTI_07052025122421_annualreportseintimation.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1432884_07052025122600_WEB.xml,7-May-25,BRSR_1432884_07052025122600
Tata Teleservices (Maharashtra) Limited,2024,2025,https://nsearchives.nseindia.com/corporate/TTML_06052025122154_TTML_532371_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1432111_06052025122221_WEB.xml,6-May-25,BRSR_1432111_06052025122221
GM BREWERIES LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/sab65d_05052025152223_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1431473_05052025032252_WEB.xml,5-May-25,BRSR_1431473_05052025032252
Anand Rathi Wealth Limited,2024,2025,https://nsearchives.nseindia.com/corporate/ANANDRATHI_01052025135827_IntimationBRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1430098_01052025015845_WEB.xml,1-May-25,BRSR_1430098_01052025015845
KSB Limited,2024,2024,https://nsearchives.nseindia.com/corporate/KSB_24042025230908_KSB_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1424339_24042025110938_WEB.xml,########,BRSR_1424339_24042025110938
Sanofi India Limited,2024,2024,https://nsearchives.nseindia.com/corporate/COSECSANOFI_22042025212248_SanofiAR2024BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1422807_22042025092323_WEB.xml,########,BRSR_1422807_22042025092323
Transformers and Rectifiers (India) Limited,2024,2025,https://nsearchives.nseindia.com/corporate/TRIL_21042025042044_SEIntimation_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1420453_21042025042055_WEB.xml,########,BRSR_1420453_21042025042055
Huhtamaki India Limited,2024,2024,https://nsearchives.nseindia.com/corporate/HUHTAMAKI_15042025125251_HIL_BRSR2024_15Apr25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1414457_15042025125308_WEB.xml,########,BRSR_1414457_15042025125308
Vesuvius India Limited,2024,2024,https://nsearchives.nseindia.com/corporate/VESUVIUS_14042025230424_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1414264_14042025110452_WEB.xml,########,BRSR_1414264_14042025110452
SANOFI CONSUMER HEALTHCARE INDIA LIMITED,2024,2024,https://nsearchives.nseindia.com/corporate/SANOFICONSUMER_13042025171234_SCHIL_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1413479_13042025052652_WEB.xml,########,BRSR_1413479_13042025052652
ABB India Limited,2024,2024,https://nsearchives.nseindia.com/corporate/ABB_09042025200907_Annual_Report_2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1411314_09042025080919_WEB.xml,9-Apr-25,BRSR_1411314_09042025080919
Rain Industries Limited,2024,2024,https://nsearchives.nseindia.com/corporate/RAIN_09042025150807_RainIndustriesLtdBRSRREPORTSE.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1410850_09042025031420_WEB.xml,9-Apr-25,BRSR_1410850_09042025031420
Crisil Limited,2024,2024,https://nsearchives.nseindia.com/corporate/CRISIL_04042025183902_BRSR_Report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1408608_04042025063920_WEB.xml,4-Apr-25,BRSR_1408608_04042025063920
CIE AUTOMOTIVE INDIA LIMITED,2024,2024,https://nsearchives.nseindia.com/corporate/Mahindracie_04042025134456_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1408367_04042025014547_WEB.xml,4-Apr-25,BRSR_1408367_04042025014547
Varun Beverages Limited,2024,2024,https://nsearchives.nseindia.com/corporate/VBL_11032025174358_VBLNoticeAR2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1394994_11032025054427_WEB.xml,########,BRSR_1394994_11032025054427
Castrol India Limited,2024,2024,https://nsearchives.nseindia.com/corporate/CASTROLINDIA_25022025195909_SE_Intimation_BRSRFY2024_25022025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1389867_25022025075940_WEB.xml,########,BRSR_1389867_25022025075940
Cyient Limited,2023,2024,https://nsearchives.nseindia.com/corporate/CYIENT_19022025125655_BRSR2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1387421_19022025125706_WEB.xml,########,BRSR_1387421_19022025125706
Siemens Limited,2023,2024,https://nsearchives.nseindia.com/corporate/SIEMENS57_14012025173818_Siemens-Limited-BRSR-2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1345203_14012025053859_WEB.xml,14-Jan-25,BRSR_1345203_14012025053859
Indraprastha Gas Limited,2023,2024,https://nsearchives.nseindia.com/corporate/IGL1_17122024163450_BRSRIGL.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1328008_17122024043540_WEB.xml,########,BRSR_1328008_17122024043540
Religare Enterprises Limited,2023,2024,https://nsearchives.nseindia.com/corporate/RELIGARE_07122024171106_RELIGAREAGMNOTICEAR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1324332_07122024051536_WEB.xml,7-Dec-24,BRSR_1324332_07122024051536
Future Consumer Limited,2023,2024,https://nsearchives.nseindia.com/corporate/FCEL1_05122024180848_FCLBRSR31032024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1323499_05122024061135_WEB.xml,5-Dec-24,BRSR_1323499_05122024061135
JEENA SIKHO LIFECARE LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/JEENASIKHO_29112024133437_SignedBRSRJeena2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1320946_29112024013446_WEB.xml,########,BRSR_1320946_29112024013446
BF UTILITIES LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/BFUTILITIE_28112024123201_BRSR_BFUL_28112024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1320378_28112024123226_WEB.xml,########,BRSR_1320378_28112024123226
Network18 Media & Investments Limited,2023,2024,https://nsearchives.nseindia.com/corporate/Shambhu_27112024210620_NW18BRSRfiling27112024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1320324_27112024090720_WEB.xml,########,BRSR_1320324_27112024090720
Procter & Gamble Health Limited,2023,2024,https://nsearchives.nseindia.com/corporate/PGHL_13112024205531_PGHLBRSR2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1309940_13112024085542_WEB.xml,########,BRSR_1309940_13112024085542
Gillette India Limited,2023,2024,https://nsearchives.nseindia.com/corporate/GILLETTE_11112024205147_GILBRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1304849_11112024085231_WEB.xml,########,BRSR_1304849_11112024085231
Procter & Gamble Hygiene and Health Care Limited,2023,2024,https://nsearchives.nseindia.com/corporate/PGHH_05112024132250_PGHHbrsr2024Seintimation.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1296948_05112024012307_WEB.xml,5-Nov-24,BRSR_1296948_05112024012307
Zee Entertainment Enterprises Limited,2023,2024,https://nsearchives.nseindia.com/corporate/ZEEL_05112024125938_BRSRFY244Nov24.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1296909_05112024010004_WEB.xml,5-Nov-24,BRSR_1296909_05112024010004
HMT LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/HMT_30102024195436_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1294815_30102024075737_WEB.xml,30-Oct-24,BRSR_1294815_30102024075737
THE ANDHRA SUGARS LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/ANDHRSUGAR_19102024132947_ASLAnnualReport2324.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1279792_19102024013001_WEB.xml,19-Oct-24,BRSR_1279792_19102024013001
Mahanagar Gas Limited,2023,2024,https://nsearchives.nseindia.com/corporate/KAMLESHMGL_18102024181735_MahanagarGasLimitedBRSR202324.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1278632_18102024061755_WEB.xml,18-Oct-24,BRSR_1278632_18102024061755
NETWEB TECHNOLOGIES INDIA LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/NETWEB1234_14102024115435_BRSR_2023-2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1267501_14102024115506_WEB.xml,14-Oct-24,BRSR_1267501_14102024115506
ITI LIMITED,2024,2025,https://nsearchives.nseindia.com/corporate/ITI_10102024182155_SE_Intimation_on_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1265258_10102024062627_WEB.xml,10-Oct-24,BRSR_1265258_10102024062627
Persistent Systems Limited,2023,2024,https://nsearchives.nseindia.com/corporate/PERSISTENTUSER1_03102024181931_PersistentSystemsBRSRsubmissionsigned.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1258510_03102024061949_WEB.xml,3-Oct-24,BRSR_1258510_03102024061949
LAURUS LABS LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/LAURUSLABS_01102024194544_BRSR2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1257451_01102024075018_WEB.xml,1-Oct-24,BRSR_1257451_01102024075018
Hindustan Construction Company Limited,2023,2024,https://nsearchives.nseindia.com/corporate/HCC_26092024171743_BRSR_Exchange.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1250595_26092024053008_WEB.xml,########,BRSR_1250595_26092024053008
Mrs. Bectors Food Specialities Limited,2023,2024,https://nsearchives.nseindia.com/corporate/BECTORFOOD_26092024172041_MBFSL2023_24_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1250555_26092024052052_WEB.xml,########,BRSR_1250555_26092024052052
RAJESH EXPORTS LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/RAJESHEXPO_20092024190151_RelBSSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1246595_20092024070217_WEB.xml,########,BRSR_1246595_20092024070217
Accelya Solutions India Limited,2023,2024,https://nsearchives.nseindia.com/corporate/ACCELYA_20092024181740_AnnualReportSubmission2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1246529_20092024061751_WEB.xml,########,BRSR_1246529_20092024061751
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/FACT_19092024145512_BusinessResponsibilityandSustainabilityReport.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1245560_19092024030448_WEB.xml,########,BRSR_1245560_19092024030448
ASHIANA HOUSING LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/ASHIANA_16092024172511_BRSRNSE2024SIGNED.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1243976_16092024052522_WEB.xml,########,BRSR_1243976_16092024052522
THE NEW INDIA ASSURANCE COMPANY LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/NIACL_16092024150521_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1243784_16092024030617_WEB.xml,########,BRSR_1243784_16092024030617
NMDC Limited,2023,2024,https://nsearchives.nseindia.com/corporate/NMDC_12092024172453_NMDCBRSR2024.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1242411_12092024052504_WEB.xml,########,BRSR_1242411_12092024052504
Cyient DLM Limited,2023,2024,https://nsearchives.nseindia.com/corporate/9880504433_12092024110448_DLM_BRSR_FY24.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1242137_12092024110549_WEB.xml,########,BRSR_1242137_12092024110549
National Aluminium Company Limited,2023,2024,https://nsearchives.nseindia.com/corporate/bharatsahu_12092024110118_LetterBRSR202324.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1242134_12092024110249_WEB.xml,########,BRSR_1242134_12092024110249
Mazagon Dock Shipbuilders Limited,2023,2024,https://nsearchives.nseindia.com/corporate/MAZDOCK_11092024201425_BSENSEDisclosureBRSR04092024signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1242089_11092024081445_WEB.xml,########,BRSR_1242089_11092024081445
Som Distilleries & Breweries Limited,2023,2024,https://nsearchives.nseindia.com/corporate/SDBL_11092024175451_SE_BRSRsd.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241950_11092024055918_WEB.xml,########,BRSR_1241950_11092024055918
PTC Industries Limited,2023,2024,https://nsearchives.nseindia.com/corporate/PTCINDUSTRIES_11092024143412_BRSR_FY24_Exchange_file.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241697_11092024023456_WEB.xml,########,BRSR_1241697_11092024023456
Alicon Castalloy Limited,2023,2024,https://nsearchives.nseindia.com/corporate/ALICON_11092024121417_Report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241616_11092024121431_WEB.xml,########,BRSR_1241616_11092024121431
CONFIDENCE PETROLEUM INDIA LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/CONFIPET_10092024204751_CPILBRSR202324.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241525_10092024084821_WEB.xml,########,BRSR_1241525_10092024084821
KITEX GARMENTS LIMITED,2023,2024,https://nsearchives.nseindia.com/corporate/KITEX_10092024171313_KGL_BRSR_23_24S.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1241313_10092024051447_WEB.xml,########,BRSR_1241313_10092024051447
